duck
goose
gull
swan
hawk
dove
egg
finch
kite
eagle
sparrow
tern
gullimot
lapwing
cormorant
heron
skua
albatross
auk
pigeon
cuckoo
thrush
wren
owl
kingfisher
swift
magpie
